Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nestor Cortes","NYY",5,5,,4.09471,22,19,,,107.7,448,99,52,49,16,31,0,2,100,8.35655,2.59053,3.22581,1.33705,0.223214,0.0691964,0.1540178582072258,0.238554,1.20706,0.277592,0.724907,,,4.24854,1.46996,1.57005,999,,,,"17874"
"Frankie Montas","CIN",6,8,,4.97368,21,20,,,114,493,118,67,63,20,37,1,4,112,8.8421,2.92105,3.02703,1.57895,0.227181,0.0750507,0.15212981402873993,0.261062,1.35965,0.30625,0.692913,,,4.64978,1.46699,1.05971,999,,,,"14309"
"Dominic Hamel","NYM",6,6,,4.38822,23,22,,,108.7,470,102,57,53,13,45,0,5,104,8.61086,3.72585,2.31111,1.07636,0.221277,0.0957447,0.12553191184997559,0.242857,1.35235,0.293729,0.698758,,,4.2762,1.46107,1.10285,999,,,,"sa3017949"
"Jhony Brito","SDP",9,6,,3.92758,25,18,,,107.7,452,101,50,47,13,31,0,5,87,7.2702,2.59053,2.80645,1.08635,0.192478,0.0685841,0.12389381229877472,0.242788,1.22563,0.278481,0.720562,,,4.2114,1.45834,1.66312,999,,,,"25386"
"Jon Gray","TEX",6,7,,4.60538,22,22,,,115.3,498,115,63,59,17,39,1,6,109,8.50824,3.04423,2.79487,1.32697,0.218875,0.0783133,0.1405622437596321,0.253863,1.33565,0.299694,0.698925,,,4.45192,1.45633,1.24175,999,,,,"14916"
"Mike Burrows","PIT",5,6,,4.26912,27,26,,,103.3,440,97,52,49,11,37,0,4,80,6.96999,3.22362,2.16216,0.958374,0.181818,0.0840909,0.09772727638483047,0.243108,1.29719,0.279221,0.6914,,,4.28118,1.45352,1.59865,999,,,,"sa3008517"
"Wilmer Flores","DET",5,6,,4.25,25,25,,,108,462,102,55,51,11,35,0,9,86,7.16667,2.91667,2.45714,0.916667,0.186147,0.0757576,0.11038960516452791,0.244019,1.26852,0.283489,0.674342,,,4.20874,1.45143,1.44299,999,,,,"sa3015223"
"Josiah Gray","WSN",7,8,,4.27903,22,22,,,128.3,549,115,65,61,19,52,1,6,124,8.69836,3.6477,2.38462,1.33281,0.225865,0.0947177,0.13114754855632782,0.234216,1.30164,0.275862,0.726496,,,4.60344,1.45065,1.88899,999,,,,"24580"
"Cristian Javier","HOU",7,5,,3.94615,25,21,,,130,547,111,61,57,18,49,0,6,128,8.86154,3.39231,2.61224,1.24615,0.234004,0.0895795,0.14442414045333862,0.22561,1.23077,0.268786,0.734421,,,4.35504,1.45059,2.15022,999,,,,"17606"
"Jeff Criswell","COL",5,7,,4.81994,23,21,,,108.3,473,109,62,58,14,43,1,4,89,7.39612,3.57341,2.06977,1.16343,0.188161,0.0909091,0.09725157916545868,0.255869,1.40351,0.294118,0.679758,,,4.59391,1.45052,1.65952,999,,,,"sa3014435"
