Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Corey Seager","TEX",137.7,622.562,547.568,160.372,93.7414,34.8712,0.9026,30.857,97.0988,90.8976,60.4508,7.4707,101.136,6.2256,4.4617,3.8565,,3.067,1.2527,0.292881,0.0971,0.162451,0.59772,0.366973,0.52892,0.377509,0.895894,0.236039,3.06981,0.308343,-0.448,-1.09381,106.431,30.5751,140.29,-1.54181,-3.711,28.5128835439682,1.0139999389648438,5.05358,20.489999771118164,,,,"13624"
"Kyle Tucker","HOU",150,635.419,555.673,158.811,90.3767,33.0979,3.3656,31.9711,96.2852,102.69,69.8326,6.3542,95.0756,3.1771,5.0384,1.6986,,24.6307,6.508,0.2858,0.1099,0.149627,0.734496,0.365809,0.530085,0.377389,0.895894,0.244285,5.59988,0.292485,1.004,0.969303,108.565,31.1431,143.477,1.9733,-0.602,35.07516348361969,-8.205000162124634,4.83222,6.659999847412109,,,,"18345"
"Bobby Witt Jr.","KCR",150,676.842,618.805,172.028,101.839,32.3415,7.6435,30.204,101.54,93.1509,42.9118,1.3537,117.078,6.0916,4.7945,4.2388,,42.3601,14.4991,0.278,0.0634,0.172977,0.366523,0.328621,0.501399,0.351536,0.83002,0.223399,7.55888,0.297751,1.719,1.20044,101.11,18.6405,120.521,2.91944,-2.258,19.562078952789307,5.242000102996826,4.76653,2.559999942779541,,,,"25764"
"Rafael Devers","BOS",150,672.137,592.105,168.558,94.0339,37.9707,1.0336,35.5196,103.676,103.059,63.5842,9.4099,128.783,8.0656,4.7736,3.6086,,4.8058,2.2408,0.284675,0.0946,0.191602,0.493732,0.359308,0.532261,0.374101,0.891569,0.247586,3.53922,0.307549,0.329,-1.18874,113.003,31.1071,134.16,-0.859741,-2.813,26.651460468769073,-1.996999979019165,4.73567,24.729999542236328,,,,"17350"
"Corbin Carroll","ARI",150,679.239,593.862,162.193,96.1967,31.5872,8.5027,25.9059,103.713,83.618,64.256,1.3585,138.132,11.5471,4.5155,5.0586,,41.6446,11.4735,0.273115,0.0946,0.203363,0.465178,0.353015,0.485808,0.359078,0.838823,0.212693,7.79409,0.313779,1.949,2.1714,105.722,22.9611,125.627,4.1204,4.866,25.684848308563232,-1.5,4.71853,4.289999961853027,,,,"25878"
"Alex Bregman","HOU",150,671.12,569.797,152.161,94.091,31.5073,2.3919,24.1705,97.2859,86.1086,84.494,1.3422,84.7288,8.7246,4.7825,3.3222,,2.9882,1.2685,0.267044,0.1259,0.12625,0.997229,0.367446,0.457994,0.358041,0.825439,0.19095,3.45135,0.274846,-1.121,-1.37067,103.881,22.1089,130.066,-2.49167,-1.598,21.68603014945984,0.6959998607635498,4.50563,104.7300033569336,,,,"17678"
"William Contreras","MIL",141.1,627.458,550.681,150.142,94.0971,30.5421,1.3194,24.183,85.2894,79.6596,62.934,1.8824,139.047,5.6471,4.5379,3.6574,,4.5256,1.8755,0.272647,0.1003,0.221604,0.45261,0.350629,0.464645,0.350773,0.815275,0.191998,3.41024,0.321332,-0.866,-1.12544,93.3351,16.883,120.059,-1.99144,-3.645,13.600724220275879,0.9850001335144043,4.43402,78.51000213623047,,,,"20503"
"Freddie Freeman","LAD",150,669.73,577.31,174.395,108.755,38.1067,1.5531,25.9808,102.178,96.6608,75.7464,10.0459,111.248,9.3762,4.9833,2.3132,,13.2202,4.3833,0.302083,0.1131,0.166108,0.680881,0.38884,0.50848,0.380925,0.89732,0.206397,4.36209,0.333467,0.402,-0.6225,116.394,34.7913,142.878,-0.2205,-1.28,35.3550693243742,-13.77999997138977,4.42599,8.949999809265137,,,,"5361"
"Matt Olson","ATL",150,652.667,553.363,148.668,79.2591,27.394,1.6629,40.3524,102.919,112.082,87.3268,6.5267,147.637,5.874,4.5327,1.5698,,1.235,0.5497,0.268663,0.1338,0.226206,0.591495,0.37148,0.542944,0.384742,0.914424,0.274281,2.88636,0.29282,0.17,-1.26355,115.498,35.9739,141.646,-1.09355,1.862,32.57980298995972,-10.638000011444092,4.40461,17.65999984741211,,,,"14344"
"Yandy Díaz","TBR",145.8,672.46,572.284,168.815,112.422,34.4799,0.7037,21.2097,99.4982,72.2421,82.3764,0.6725,99.463,7.3971,4.2555,6.1471,,3.5908,1.4103,0.294984,0.1225,0.147909,0.828212,0.388088,0.468877,0.372482,0.856965,0.173893,3.03105,0.32379,-1.614,-1.42985,112.154,30.2181,143.799,-3.04385,1.423,32.247342586517334,-11.050999999046326,4.39193,138.2899932861328,,,,"16578"
