Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Bo Bichette","TOR",135,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,14,5,3,0.306479859,"Bo Bichette",19612,666182
"Evan Carter","TEX",23,62,75,19,9,4,1,5,15,12,12,1,24,0,1,0,1,3,0,0.306451612,"Evan Carter",27790,694497
"Shohei Ohtani","LAA",135,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,9,20,6,0.303822937,"Shohei Ohtani",19755,660271
"Johan Rojas","PHI",59,149,164,45,32,9,2,2,24,23,5,0,42,4,0,6,1,14,1,0.302013422,"Johan Rojas",24336,679032
"Dominic Fletcher","ARI",28,93,102,28,20,5,1,2,10,14,7,1,22,0,0,2,0,0,2,0.301075268,"Dominic Fletcher",26149,666150
"Gio Urshela","LAA",62,214,228,64,53,8,1,2,22,24,10,0,36,1,3,0,9,3,2,0.29906542,"Gio Urshela",10681,570482
"Victor Robles","WSN",36,107,126,32,26,5,1,0,15,8,11,0,18,4,0,4,3,8,1,0.29906542,"Victor Robles",18363,645302
"Jared Triolo","PIT",54,181,209,54,42,9,0,3,30,21,24,0,63,3,1,0,0,6,1,0.298342541,"Jared Triolo",25807,669707
"Iván Herrera","STL",13,37,44,11,9,2,0,0,6,4,5,0,11,2,0,0,1,0,0,0.297297297,"Ivan Herrera",20599,671056
"Nolan Jones","COL",106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,0.297002724,"Nolan Jones",20529,666134
"Jarren Duran","BOS",102,332,362,98,54,34,2,8,46,40,24,1,90,3,2,0,3,24,2,0.295180722,"Jarren Duran",24617,680776
"Xavier Edwards","MIA",30,78,84,23,20,3,0,0,12,3,3,0,14,1,0,2,1,5,0,0.294871794,"Xavier Edwards",22266,669364
"Alexander Canario","CHC",6,17,17,5,2,1,1,1,1,6,0,0,8,0,0,0,0,0,0,0.294117647,"Alexander Canario",22842,672744
"Jon Berti","MIA",133,388,424,114,88,16,3,7,53,33,29,2,77,2,3,2,10,16,6,0.293814432,"Jon Berti",12037,542932
"Bryce Harper","PHI",126,457,546,134,83,29,1,21,84,72,80,8,119,5,4,0,10,11,3,0.29321663,"Bryce Harper",11579,547180
