"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jake Burger","CHW","111","509","452","114","17","1","21","61","55","40","97","13","2","2","",".252",".328",".434",".762",".330","","-0.9","-0.8","","5.2","1.1","2.4","22275"
"Sean Murphy","OAK","105","367","321","72","19","1","14","45","49","34","99","8","1","0","",".224",".311",".421",".732",".317","","-0.1","2.4","","1.8","9.1","2.3","19352"
"Mitch Haniger","SEA","130","570","510","126","23","2","28","83","83","46","137","8","2","0","",".247",".316",".465",".780",".331","","0.0","-0.1","","10.3","-6.4","2.3","14274"
"Josh Bell","WSN","134","541","472","129","27","2","27","74","96","61","99","3","0","1","",".273",".357",".511",".867",".366","","-0.9","-2.6","","17.7","-12.5","2.3","13145"
"Jarred Kelenic","SEA","124","522","468","112","24","3","25","68","82","47","128","4","12","5","",".239",".312",".464",".776",".330","","-0.1","-5.5","","8.9","-3.6","2.3","22558"
"Steven Kwan","CLE","103","451","410","117","20","5","11","57","43","35","52","3","7","4","",".285",".344",".439",".783",".338","","-0.7","-1.5","","7.5","0.2","2.3","sa3008536"
"Adolis García","TEX","137","542","509","121","25","3","26","67","82","24","158","6","11","5","",".238",".279",".452",".730",".309","","-0.2","4.9","","-2.7","6.9","2.3","19287"
"Eloy Jiménez","CHW","109","453","419","116","23","2","26","55","80","28","113","2","0","0","",".277",".323",".527",".850",".358","","-0.3","-3.5","","15.7","-8.5","2.3","17484"
"Luis García","WSN","124","470","442","123","28","4","17","60","57","25","78","1","2","4","",".278",".318",".475",".793",".337","","-1.6","-1.7","","3.3","3.5","2.2","20391"
"Miguel Sanó","MIN","118","479","419","99","23","1","32","71","82","55","160","3","1","1","",".236",".328",".525",".853",".359","","-0.6","-1.5","","16.3","-10.3","2.2","12164"
"Adam Frazier","SEA","146","574","523","139","26","4","9","68","42","39","73","8","6","5","",".266",".326",".382",".708",".309","","-1.4","2.3","","-1.6","4.4","2.2","15223"
"Alex Verdugo","BOS","138","544","490","141","33","2","13","73","55","46","89","3","6","2","",".288",".349",".443",".792",".339","","-0.1","2.6","","7.2","-3.4","2.2","17027"
"Gavin Lux","LAD","128","513","458","111","21","6","16","69","70","51","123","2","6","2","",".242",".320",".419",".739",".318","","0.0","-0.8","","0.4","4.9","2.2","19955"
"Paul Goldschmidt","STL","136","579","514","136","26","2","21","74","73","59","126","3","6","1","",".265",".342",".446",".787",".338","","0.3","2.3","","11.3","-8.3","2.2","9218"
"Alek Thomas","ARI","106","492","445","120","25","8","12","62","52","40","102","5","10","6","",".270",".336",".443",".779",".336","","-0.9","0.3","","3.7","2.1","2.2","sa3006892"
"Richie Palacios","CLE","105","432","381","102","26","3","9","60","40","41","80","6","13","2","",".268",".347",".423",".769",".335","","1.4","-2.2","","7.9","-0.6","2.2","sa3006908"
