"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Drew Waters","ATL","109","481","435","104","24","4","11","47","35","39","152","5","17","5","",".239",".308",".389",".697",".304","","0.9","5.7","","-7.5","0.4","0.9","sa3004378"
"Jeter Downs","BOS","107","446","398","86","19","2","16","53","49","35","130","4","15","3","",".216",".283",".394",".677",".292","","1.4","-1.2","","-10.1","3.7","0.9","sa3004615"
"Aledmys Díaz","HOU","84","309","283","71","17","0","8","31","40","18","52","6","1","1","",".251",".307",".396",".703",".303","","-0.5","0.1","","-3.0","1.2","0.9","15937"
"Jake Hager","","97","358","327","76","20","1","10","37","40","24","91","2","5","1","",".232",".287",".391",".678",".291","","0.3","2.5","","-9.5","6.4","0.9","12198"
"Brett Wisely","TBR","101","438","404","97","15","1","14","58","52","29","115","1","14","4","",".240",".291",".386",".677",".293","","0.8","-3.1","","-4.7","-1.5","0.9","sa1170003"
"Jantzen Witte","","96","399","367","90","14","0","9","45","38","24","80","3","3","2","",".245",".295",".357",".652",".285","","-0.6","2.4","","-8.7","3.9","0.9","sa738324"
"Jason Castro","HOU","59","182","157","34","7","0","7","21","19","22","55","2","0","0","",".217",".320",".395",".715",".315","","-0.2","-1.0","","0.2","2.3","0.9","8722"
"Logan Porter","KCR","67","265","237","54","11","0","9","34","29","23","70","4","0","0","",".228",".306",".388",".694",".303","","-0.2","-1.5","","-3.7","3.4","0.9","sa3007750"
"James McCann","NYM","105","386","355","83","14","1","10","34","43","25","107","4","1","2","",".234",".290",".363",".654",".284","","-0.9","-1.5","","-9.8","5.6","0.9","12859"
"Tyrone Taylor","MIL","101","335","303","73","15","3","13","40","46","22","75","6","5","1","",".241",".302",".439",".741",".317","","0.3","2.6","","-1.4","-1.1","0.9","13675"
"Bobby Dalbec","BOS","123","462","415","94","20","3","24","53","68","37","164","8","2","1","",".227",".301",".463",".764",".324","","-0.3","1.3","","0.0","-7.2","0.9","19966"
"Travis d'Arnaud","ATL","70","270","245","60","12","0","9","28","36","20","66","2","0","0","",".245",".304",".404",".708",".306","","-0.2","-1.0","","-4.5","4.0","0.8","7739"
"Xavier Fernández","CHW","70","268","246","58","10","0","10","30","28","16","54","2","2","1","",".236",".286",".398",".684",".293","","-0.2","-0.6","","-5.1","4.3","0.8","sa737922"
"Iván Herrera","STL","98","424","372","79","13","0","15","56","48","38","94","5","1","2","",".212",".290",".368",".659",".288","","-1.0","-2.9","","-10.6","4.9","0.8","sa3003191"
"Kevin Newman","PIT","134","525","487","128","24","4","6","53","44","29","49","3","8","4","",".263",".307",".366",".673",".291","","-0.5","-1.8","","-13.0","4.0","0.8","17696"
"Kyle Stowers","BAL","113","478","427","99","20","1","21","58","62","44","160","3","5","2","",".232",".307",".431",".738",".317","","-0.2","-1.7","","-1.0","-7.0","0.8","sa1115829"
"Alex Jackson","MIA","81","294","261","48","10","1","14","33","34","22","121","10","1","0","",".184",".272",".391",".663",".285","","0.0","0.3","","-7.2","5.7","0.8","17276"
"Terrin Vavra","BAL","74","328","288","70","15","2","7","39","26","33","70","2","7","4","",".243",".322",".382",".704",".308","","-0.6","-0.7","","-3.5","0.5","0.8","sa3007643"
"Cooper Hummel","ARI","99","376","315","72","15","3","10","47","39","50","94","7","3","2","",".229",".345",".390",".735",".325","","-0.6","0.2","","-0.3","-3.9","0.8","sa918412"
"Matt Reynolds","NYM","91","356","315","72","17","2","5","42","26","34","94","2","3","2","",".229",".306",".343",".649",".286","","-0.5","0.6","","-8.1","4.5","0.8","13788"
"Jose Fermin","CLE","98","389","355","91","14","2","8","54","37","21","51","8","5","4","",".256",".311",".375",".686",".300","","-1.0","-0.1","","-6.4","1.3","0.8","sa917339"
"Otto Lopez","TOR","116","513","466","118","23","3","10","72","47","32","100","5","14","4","",".253",".305",".380",".685",".297","","0.7","-1.3","","-9.9","0.6","0.8","19608"
"Liover Peguero","PIT","96","434","404","95","19","2","9","50","36","24","112","2","18","4","",".235",".280",".359",".639",".278","","1.6","2.6","","-13.6","7.4","0.8","sa3005582"
"José Godoy","SEA","83","324","295","70","13","0","6","37","29","19","69","4","1","0","",".237",".290",".342",".632",".277","","-0.1","-0.2","","-8.7","5.8","0.8","15808"
"Aaron Hicks","NYY","58","238","202","44","9","1","8","31","28","33","52","1","2","1","",".218",".328",".391",".719",".316","","-0.2","-0.8","","-0.1","0.1","0.8","5297"
"Jacob Amaya","LAD","117","495","448","97","20","2","14","59","55","38","114","2","4","1","",".217",".278",".364",".642",".279","","0.0","1.8","","-15.5","7.3","0.8","sa3005081"
"Yuli Gurriel","HOU","118","496","448","124","22","1","11","58","59","35","54","4","2","1","",".277",".329",".404",".733",".315","","-0.5","-0.3","","0.6","-9.4","0.8","19198"
"Marty Costes","HOU","90","364","314","79","14","2","6","54","32","35","72","9","6","3","",".252",".341",".366",".707",".314","","-0.4","-0.3","","0.0","-4.3","0.8","sa3006783"
"Daz Cameron","DET","98","409","367","82","18","4","11","47","40","33","117","7","13","4","",".223",".299",".384",".683",".298","","0.6","-1.7","","-5.7","-0.2","0.8","18353"
"Nick Senzel","CIN","80","310","281","72","17","3","8","40","30","25","66","1","7","5","",".256",".317",".423",".741",".319","","-0.9","0.2","","-3.6","1.3","0.8","19293"
"Lars Nootbaar","STL","106","345","308","76","8","3","11","43","38","34","73","1","4","4","",".247",".323",".399",".722",".312","","-1.2","2.6","","-2.2","-1.2","0.8","21454"
"Wil Myers","SDP","129","449","403","97","22","2","16","50","56","43","127","1","7","4","",".241",".314",".424",".738",".318","","-0.6","-2.0","","0.1","-6.9","0.8","10047"
"Jo Adell","LAA","108","465","429","103","20","4","21","52","75","29","136","4","7","2","",".240",".294",".452",".746",".318","","0.2","-3.2","","0.6","-8.3","0.8","20220"
"Randal Grichuk","TOR","133","515","481","117","26","2","23","61","75","27","112","4","1","2","",".243",".287",".449",".736",".313","","-1.0","-6.6","","-4.8","-4.7","0.8","10243"
"DJ Stewart","BAL","100","363","311","70","16","1","15","46","47","44","89","5","3","2","",".225",".329",".428",".756",".328","","-0.5","-2.4","","2.1","-6.4","0.8","17766"
"Diego Castillo","PIT","109","449","409","102","23","1","10","47","37","33","62","3","7","3","",".249",".309",".384",".693",".302","","-0.2","-1.5","","-7.0","0.1","0.8","sa872839"
"Nick Allen","OAK","92","392","357","83","18","2","8","48","38","25","85","3","8","5","",".232",".286",".361",".647",".282","","-0.8","0.5","","-10.1","4.8","0.8","sa3004723"
"Drew Ellis","ARI","111","447","389","83","22","1","14","50","48","46","131","6","1","2","",".213",".304",".383",".687",".301","","-1.0","1.3","","-9.7","2.9","0.8","19873"
"Yoelqui Cespedes","CHW","79","326","305","74","15","1","8","32","28","12","105","9","10","3","",".243",".291",".377",".668",".291","","0.5","1.6","","-5.9","2.8","0.8","sa3015137"
"Breyvic Valera","","98","360","323","81","16","2","8","42","37","29","46","2","6","4","",".251",".314",".387",".701",".305","","-0.8","0.1","","-5.8","1.4","0.8","12758"
"Corey Julks","HOU","94","402","369","86","20","2","9","37","31","30","105","2","9","4","",".233",".294",".371",".665",".289","","-0.2","0.8","","-8.1","2.3","0.8","sa913274"
"Connor Joe","COL","91","351","302","77","17","1","12","43","45","40","72","5","1","1","",".255",".349",".437",".786",".341","","-0.5","0.8","","-0.7","-3.1","0.8","16572"
"Jose Herrera","ARI","84","332","291","63","13","1","6","34","27","36","83","1","2","1","",".216",".302",".330",".632",".280","","-0.3","3.2","","-12.4","9.3","0.8","sa830295"
"Hanser Alberto","","114","385","366","103","21","2","5","40","33","8","36","4","3","2","",".281",".302",".391",".693",".298","","-0.5","0.6","","-7.3","2.0","0.8","11902"
"Manuel Margot","TBR","130","448","408","101","22","3","9","54","50","35","83","1","13","7","",".248",".306",".382",".689",".298","","-0.7","2.2","","-4.7","-2.7","0.8","14712"
"Elias Díaz","COL","98","334","306","79","16","1","11","40","38","24","54","2","0","0","",".258",".314",".425",".739",".317","","-0.3","-2.5","","-6.9","3.6","0.8","11680"
"Esteban Quiroz","TBR","73","282","246","55","14","0","7","36","33","30","69","4","1","0","",".224",".317",".366",".683",".302","","0.0","-1.4","","-1.5","-0.4","0.8","sa596560"
"Josh Harrison","","109","427","389","98","20","2","5","40","39","22","58","12","6","4","",".252",".309",".352",".661",".291","","-0.8","-0.6","","-7.8","1.0","0.8","8202"
"Aristides Aquino","CIN","110","378","337","76","14","1","22","49","64","36","115","3","5","2","",".226",".304",".469",".773",".327","","-0.1","0.0","","-0.7","-4.2","0.8","15482"
"Jake Cave","MIN","104","339","308","75","16","3","10","41","37","22","103","6","2","2","",".244",".305",".412",".717",".310","","-0.7","-2.5","","-2.7","-1.3","0.8","14477"
"Andy Yerzy","ARI","103","423","364","77","12","0","26","57","58","43","125","12","5","1","",".212",".314",".459",".772",".331","","0.3","-1.2","","2.6","-9.0","0.8","sa917939"
"Matt Duffy","","89","321","287","79","13","0","4","36","27","25","56","6","5","2","",".275",".344",".362",".706",".313","","-0.2","-1.5","","-2.8","-0.3","0.8","13836"
"Willians Astudillo","","87","303","288","78","12","0","9","33","33","6","14","6","3","1","",".271",".297",".406",".703",".301","","-0.1","0.1","","-4.0","1.2","0.8","15608"
"Jose Rojas","LAA","109","442","404","93","23","2","15","55","51","33","101","1","5","2","",".230",".288",".408",".696",".298","","-0.1","-2.1","","-7.0","-0.5","0.8","19331"
"Austin Shenton","TBR","78","352","318","71","17","1","8","43","39","26","97","5","1","0","",".223",".291",".358",".649",".285","","-0.1","1.3","","-7.0","2.6","0.8","sa3009869"
"Emmanuel Rivera","KCR","106","436","404","100","20","2","11","49","44","24","89","3","4","1","",".248",".293",".389",".681",".293","","0.1","0.4","","-9.3","2.0","0.8","19890"
"Josh Breaux","NYY","83","347","323","71","13","1","16","38","50","19","100","1","1","0","",".220",".264",".415",".679",".289","","0.0","-3.1","","-7.6","3.3","0.8","sa3008051"
"Tucupita Marcano","PIT","122","488","437","107","14","3","7","65","39","45","71","0","10","7","",".245",".313",".339",".652",".289","","-1.4","3.5","","-13.9","5.3","0.7","22871"
"Bobby Bradley","CLE","106","425","380","81","17","1","24","50","62","36","156","5","0","0","",".213",".288",".453",".740",".313","","-0.3","2.3","","-1.4","-5.5","0.7","17278"
"Ben Rortvedt","MIN","74","265","239","50","10","1","8","29","27","19","74","4","0","0","",".209",".278",".360",".637",".277","","-0.2","2.4","","-8.8","7.3","0.7","20287"
"Kevin Pillar","","121","426","403","99","21","3","13","50","54","13","78","7","7","3","",".246",".279",".409",".689",".293","","-0.1","-1.5","","-6.7","0.1","0.7","12434"
"Ivan Johnson","CIN","82","348","320","74","15","1","13","38","38","25","106","3","6","3","",".231",".293",".406",".699",".303","","-0.3","0.1","","-8.0","3.9","0.7","sa1169627"
"Johan Rojas","PHI","99","435","406","95","15","3","13","55","48","22","95","3","16","5","",".234",".277",".382",".659",".284","","0.8","4.8","","-13.3","6.4","0.7","sa3005784"
"Dairon Blanco","KCR","104","427","397","95","18","5","8","46","36","23","98","5","18","6","",".239",".289",".370",".659",".286","","0.8","2.2","","-10.8","3.8","0.7","sa3005386"
"Jimmy Govern","KCR","84","323","297","71","18","1","7","40","33","19","65","5","4","1","",".239",".295",".377",".672",".293","","0.1","2.2","","-6.9","3.4","0.7","sa3010166"
"Matt Koperniak","STL","101","412","378","98","22","0","8","55","39","23","65","9","2","2","",".259",".316",".381",".697",".305","","-0.8","2.8","","-4.5","-1.7","0.7","sa3014834"
"Brent Rooker","MIN","102","419","366","79","19","1","20","51","52","39","141","10","1","1","",".216",".307",".437",".744",".320","","-0.5","-2.9","","0.7","-7.5","0.7","19627"
"Elvis Andrus","OAK","124","501","463","115","22","3","5","55","39","27","72","4","12","4","",".248",".293",".341",".634",".276","","0.3","-1.3","","-13.9","4.2","0.7","8709"
"Jack Suwinski","PIT","115","460","398","89","19","3","18","56","51","52","135","3","7","4","",".224",".315",".422",".737",".318","","-0.6","-1.3","","-1.5","-6.4","0.7","sa918314"
"Seth Beer","ARI","114","497","437","113","24","0","17","62","56","35","107","21","0","2","",".259",".341",".430",".771",".334","","-1.3","-2.8","","2.8","-11.9","0.7","20493"
"David Peralta","ARI","114","448","411","110","22","4","9","44","53","32","81","3","1","0","",".268",".324",".406",".730",".314","","-0.2","1.4","","-4.0","-3.5","0.7","2136"
"Joey Votto","CIN","108","448","388","94","19","1","19","52","63","54","99","3","1","0","",".242",".337",".443",".780",".335","","-0.2","-1.3","","2.0","-9.5","0.7","4314"
"Oscar Gonzalez","","125","493","473","125","21","2","21","53","64","16","116","3","2","2","",".264",".292",".450",".742",".316","","-0.8","-3.0","","-1.1","-8.4","0.7","sa872782"
"Mickey Gasper","NYY","79","316","279","58","12","0","9","33","30","29","80","5","2","0","",".208",".292",".348",".640",".282","","0.2","-0.7","","-8.6","5.1","0.7","sa3007747"
"Chance Sisco","NYM","85","300","261","55","11","0","9","32","30","28","89","10","0","0","",".211",".310",".356",".666",".296","","-0.2","-3.9","","-4.3","1.6","0.7","15694"
"Greg Jones","TBR","70","309","281","60","11","2","7","32","26","23","100","4","16","3","",".214",".282",".342",".623",".274","","1.7","0.3","","-7.0","3.7","0.7","sa3010151"
"Jon Berti","MIA","80","288","250","59","10","1","5","39","22","30","64","5","11","4","",".236",".328",".344",".672",".300","","0.3","-0.1","","-3.3","1.0","0.7","12037"
"Michael Papierski","HOU","98","392","335","64","11","1","7","50","30","48","104","6","1","4","",".191",".303",".293",".595",".273","","-1.8","1.4","","-14.8","8.6","0.7","sa829203"
"Ji-Man Choi","TBR","95","356","301","68","16","1","11","37","44","48","97","3","1","1","",".226",".334",".395",".730",".319","","-0.5","-1.1","","2.6","-7.6","0.7","5452"
"Leury García","CHW","119","466","424","110","19","4","7","56","42","27","97","4","7","3","",".259",".308",".373",".681",".297","","-0.2","-3.0","","-7.5","-1.3","0.7","5913"
"Reese McGuire","TOR","87","284","258","61","15","1","6","29","21","20","59","2","1","0","",".236",".294",".372",".666",".289","","0.0","0.0","","-7.8","5.2","0.7","15674"
"Mike Tauchman","","106","346","304","70","17","2","8","44","35","36","88","2","5","3","",".230",".314",".378",".692",".302","","-0.5","4.0","","-4.6","0.2","0.7","15274"
"Jorge Alfaro","SDP","103","356","331","79","14","1","10","30","41","16","113","8","7","2","",".239",".289",".378",".667",".289","","0.3","-3.7","","-7.6","2.8","0.7","12180"
"Drew Maggi","PHI","91","369","328","72","13","2","8","42","33","29","103","10","7","4","",".220",".302",".345",".646",".287","","-0.6","-0.1","","-9.5","4.0","0.7","sa549144"
"Jamie Westbrook","MIL","101","406","365","87","17","2","13","50","48","27","84","6","2","1","",".238",".298",".403",".701",".301","","-0.3","-0.1","","-7.9","1.4","0.7","sa737824"
"Bryson Brigman","MIA","105","424","383","89","17","2","5","41","27","32","80","3","6","3","",".232",".295",".326",".621",".275","","-0.4","2.8","","-14.5","7.5","0.7","sa829857"
"Ryan McBroom","","119","471","429","108","21","1","18","57","55","33","111","4","2","1","",".252",".309",".431",".740",".317","","-0.4","0.7","","-1.1","-8.0","0.7","16524"
"Mike Moustakas","CIN","98","380","342","83","20","1","15","40","54","31","70","4","1","0","",".243",".311",".439",".749",".319","","-0.1","-3.9","","-3.1","-2.5","0.7","4892"
"Ivan Castillo","KCR","108","429","400","105","21","3","4","51","35","20","76","2","8","4","",".263",".298",".360",".658",".285","","-0.4","3.4","","-12.6","5.0","0.7","15971"
"Kaden Polcovich","SEA","98","434","381","73","13","2","13","57","46","40","120","7","11","2","",".192",".278",".339",".617",".273","","1.0","2.7","","-12.1","4.3","0.7","sa3014496"
"Zach Reks","TEX","98","405","360","85","17","1","14","51","47","37","117","5","1","1","",".236",".314",".406",".720",".313","","-0.5","-1.3","","-1.1","-5.8","0.7","19667"
"Christian Arroyo","BOS","60","207","190","47","12","1","7","24","26","11","49","4","1","0","",".247",".302",".432",".734",".316","","0.1","0.2","","-1.2","1.0","0.7","16434"
"Arismendy Alcántara","","84","315","289","65","10","4","11","35","36","22","97","1","6","1","",".225",".280",".401",".682",".291","","0.6","-1.0","","-6.1","2.5","0.7","10711"
"Christian Lopes","","93","368","323","71","17","1","9","42","34","33","91","6","6","3","",".220",".301",".362",".664",".292","","-0.3","-1.0","","-6.0","0.4","0.7","sa601044"
"Zach DeLoach","SEA","108","507","465","108","24","3","14","59","50","37","131","5","5","3","",".232",".296",".387",".683",".297","","-0.6","1.0","","-5.8","-4.6","0.7","sa3014547"
