Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bryant Packard",,76,303,279,64,44,13,1,6,38,34,13,6,73,8,2,1,0,6,2,0.229391,0.0429043,0.240924,0.178082,0.281457,0.34767,0.267815,0.629127,0.11828,5.53736,0.287129,,-0.0987584,24.1959,-12.7229,66.3848,-0.0987584,0,-12.302990578114986,-7.793210029602051,-0.977383,999,,,,"sa3010590"
"AJ Lewis","COL",74,277,236,48,32,12,0,4,26,32,26,5,82,13,1,1,0,1,3,0.20339,0.0938628,0.296029,0.317073,0.315217,0.305085,0.277619,0.620302,0.101695,2.27719,0.291391,,-1.57477,24.375,-9.37587,56.2949,-1.57477,2.4,-16.572672247886658,-2.688918113708496,-0.979952,999,,,,"sa3015014"
"Sheng-Ping Chen","ARI",98,387,355,76,55,15,1,5,37,33,27,6,118,2,1,2,0,4,2,0.214085,0.0697674,0.30491,0.228814,0.272727,0.304225,0.250267,0.576953,0.0901408,3.95405,0.304721,,-0.645156,25.2636,-21.8901,52.6821,-0.645156,-1.1,-23.33102113008499,0.32195770740509033,-0.980051,999,,,,"sa3014837"
"Xavier Fernández",,92,360,331,81,57,16,0,8,33,40,24,9,67,2,3,0,0,0,1,0.244713,0.0666667,0.186111,0.358209,0.297222,0.365559,0.279567,0.662781,0.120846,1.38265,0.281853,,-0.992257,32.2612,-11.6027,73.8204,-0.992257,-3.2,-12.284985601902008,-9.813756704330444,-0.983956,999,,,,"sa737922"
"David Freitas",,29,115,104,23,17,4,0,2,10,12,9,4,28,1,1,0,0,0,1,0.221154,0.0782609,0.243478,0.321429,0.286957,0.317308,0.253981,0.604264,0.0961538,1.74208,0.28,,-0.599296,7.86195,-6.15013,57.7767,-0.599296,-5.1,-6.614753067493439,-7.212727785110474,-0.988271,999,,,,"10619"
"DJ Gladney","CHW",119,502,467,104,63,18,4,19,61,69,27,18,165,6,2,0,0,7,1,0.222698,0.0537849,0.328685,0.163636,0.272908,0.400428,0.274711,0.673337,0.17773,5.96511,0.298246,,0.376922,42.9616,-18.2041,70.4542,0.376922,-4.1,-17.394922524690628,-9.633509635925293,-0.994438,999,,,,"sa3010043"
"Jacob Teter",,93,363,332,73,50,17,0,6,29,35,27,9,101,1,3,0,0,1,1,0.21988,0.0743802,0.278237,0.267327,0.278237,0.325301,0.255784,0.603538,0.105422,1.73726,0.29386,,-0.753732,25.3601,-18.8694,60.6362,-0.753732,2.2,-17.874991238117218,-4.468871355056763,-0.998235,999,,,,"sa3017016"
"Bladimir Restituyo","COL",122,507,478,127,90,23,3,11,64,62,8,9,95,4,4,13,0,12,6,0.26569,0.0157791,0.187377,0.0842105,0.281377,0.395397,0.282463,0.676774,0.129707,5.86587,0.308511,,-0.849045,46.6538,-15.1212,59.5423,-0.849045,-2.9,-26.260370194911957,-1.0371253490447998,-1.00013,999,,,,"sa3006621"
"Bret Boswell",,85,323,292,60,38,14,2,6,29,32,28,6,108,2,1,0,0,2,1,0.205479,0.0866873,0.334365,0.259259,0.278638,0.328767,0.26143,0.607405,0.123288,4.06,0.301676,,-0.499796,24.08,-15.2757,45.442,-0.499796,0.1,-22.33110597729683,1.2868019118905067,-1.00149,999,,,,"sa918769"
"Brayan Buelvas","OAK",116,468,428,92,59,21,3,9,47,46,30,16,128,6,3,1,0,15,4,0.214953,0.0641026,0.273504,0.234375,0.27409,0.341121,0.255057,0.615211,0.126168,5.92148,0.282313,,0.702983,32.4131,-24.61,62.4715,0.702983,-7.4,-20.34155923128128,-5.680423378944397,-1.00927,999,,,,"sa3008868"
"Nic Kent","COL",114,442,398,100,72,21,1,6,45,45,26,8,82,7,5,6,0,5,4,0.251256,0.0588235,0.18552,0.317073,0.305046,0.354271,0.282391,0.659317,0.103015,3.53506,0.298413,,-1.43571,40.6461,-13.209,59.494,-1.43571,-3.2,-23.615612149238586,-1.5759553909301758,-1.01089,999,,,,"sa3017160"
"Kevin Graham","ARI",72,293,269,61,45,11,2,3,29,26,20,6,83,2,2,0,0,3,3,0.226766,0.0682594,0.283276,0.240964,0.283276,0.315985,0.256934,0.599262,0.0892193,4.41379,0.313514,,-1.13625,20.7496,-14.9507,57.1517,-1.13625,-0.3,-16.68943977355957,-3.529717743396759,-1.0211,999,,,,"sa3020087"
"Nick Senzel","WSN",103,365,331,75,54,14,1,6,44,32,28,7,74,3,2,1,0,6,3,0.226586,0.0767123,0.20274,0.378378,0.291209,0.329305,0.267381,0.620514,0.102719,4.70762,0.272727,,-0.667234,29.0152,-15.4579,63.9954,-0.667234,-7.1,-16.947772324085236,-5.7588770389556885,-1.02461,999,,,,"19293"
"Zion Bannister","TEX",61,213,191,36,24,8,2,2,20,20,16,6,79,5,1,0,0,9,3,0.188482,0.0751174,0.370892,0.202532,0.267606,0.282723,0.236067,0.550328,0.0942408,7.05544,0.306306,,0.233266,11.3928,-14.56,42.2534,0.233266,-0.7,-14.50472716987133,-3.047883689403534,-1.02866,999,,,,"sa3011828"
"William Simoneit","PHI",87,346,311,66,44,15,1,6,34,43,27,9,105,7,1,0,0,2,1,0.212219,0.0780347,0.303468,0.257143,0.289017,0.324759,0.263174,0.613776,0.11254,3.52103,0.298507,,-0.553732,26.296,-15.8621,61.0337,-0.553732,1.5,-17.256337761878967,-4.856554985046387,-1.02993,999,,,,"sa3014885"
